#PM6:Y6 w/PbutOXA,Component 1,,,
Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9,1207556,0.377361,9.9799562,0.31492806
9.17994278,1073966,0.335614,10.0910074,0.27638023
9.36348328,932883,0.291526,10.2145731,0.23924732
9.55069342,817529,0.255478,10.3222351,0.20396118
9.74164657,688469,0.215147,10.4479753,0.16991394
9.93641757,558332,0.174479,10.5904037,0.13900858
10.1350828,447533,0.139854,10.7294317,0.11143985
10.33772,352717,0.110224,10.8607955,0.08612695
10.5444087,270930,0.084666,10.9881694,0.06352633
10.7552298,187076,0.058461,11.1450163,0.04451771
10.970266,125272,0.039148,11.2856662,0.02866583
11.1896016,67732,0.021166,11.4668802,0.01686684
11.4133225,35287,0.011027,11.6246737,0.00884368
11.6415164,13472,0.00421,11.7973724,0.00369826
11.8742727,3004,0.000939,12.0054079,0.00137408
12.1116827,0,0,12.1116827,0
