#PM6:Y6 w/PetOXA,,,,
Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9,1267432,0.396073,9.71396391,0.31598335
9.135400923,1121648,0.350515,9.7986768,0.27634503
9.272838892,943141,0.294732,9.91129479,0.23914395
9.412344553,803359,0.25105,10.0112906,0.20552735
9.553949013,672078,0.210024,10.1137188,0.17403643
9.697683848,587927,0.183727,10.1857634,0.1449639
9.843581109,494605,0.154564,10.263806,0.11581843
9.991673328,389900,0.121844,10.3532537,0.08773523
10.14199353,302346,0.094483,10.4361082,0.06278369
10.29457523,198622,0.062069,10.5633246,0.0436473
10.44945245,109240,0.034138,10.712638,0.02800331
10.60665973,75072,0.02346,10.8023505,0.01775488
10.76623212,36308,0.011346,10.925924,0.00927425
10.9282052,14232,0.004448,11.0721916,0.00488034
11.0926151,4000,0.00125,11.2432534,0.00284877
11.25949847,3600,0.001125,11.2594985,0.00284039
